PdId,IncidntNum,Incident Code,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,location,data_loaded_at
16054110272000,160541102,72000,NON-CRIMINAL,FOUND PROPERTY,Monday,07/04/2016,13:05,TENDERLOIN,NONE,TURK ST / TAYLOR ST,-122.41076876634322,37.78321451900127,POINT (-122.410768766 37.783214519),2025/06/20 12:17:56 PM
16055483205013,160554832,05013,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Monday,07/04/2016,11:00,NORTHERN,NONE,1800 Block of JACKSON ST,-122.42554140157225,37.793673841081215,POINT (-122.425541402 37.793673841),2025/06/20 12:17:56 PM
16054094465016,160540944,65016,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,07/04/2016,15:15,BAYVIEW,"ARREST, BOOKED",25TH ST / INDIANA ST,-122.39068524367727,37.75266311877101,POINT (-122.390685244 37.752663119),2025/06/20 12:17:56 PM
16054090027065,160540900,27065,FRAUD,FALSE ID TO PEACE OFFICER,Monday,07/04/2016,14:45,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,-122.42695563170949,37.769247063207025,POINT (-122.426955632 37.769247063),2025/06/20 12:17:56 PM
16054112405083,160541124,05083,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Monday,07/04/2016,07:30,PARK,NONE,1000 Block of HAIGHT ST,-122.43953831087052,37.77089572228976,POINT (-122.439538311 37.770895722),2025/06/20 12:17:56 PM
16055230306244,160552303,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,07/04/2016,19:30,PARK,NONE,1600 Block of MCALLISTER ST,-122.43922290063456,37.77774275142361,POINT (-122.439222901 37.777742751),2025/06/20 12:17:56 PM
16054113062050,160541130,62050,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,07/04/2016,15:20,BAYVIEW,"ARREST, BOOKED",1200 Block of EGBERT AV,-122.38988901011449,37.72104631900785,POINT (-122.38988901 37.721046319),2025/06/20 12:17:56 PM
16070969564085,160709695,64085,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,07/04/2016,08:00,TARAVAL,NONE,200 Block of CRESTLAKE DR,-122.48550321005591,37.735092880880984,POINT (-122.48550321 37.735092881),2025/06/20 12:17:56 PM
16054137830130,160541378,30130,OTHER OFFENSES,PEDDLING WITHOUT A LICENSE,Monday,07/04/2016,17:59,SOUTHERN,"ARREST, BOOKED",400 Block of THE EMBARCADEROSOUTH ST,-122.39670853026048,37.79787288559331,POINT (-122.39670853 37.797872886),2025/06/20 12:17:56 PM
16058441971010,160584419,71010,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Monday,07/04/2016,09:00,INGLESIDE,NONE,100 Block of GAMBIER ST,-122.4220282742981,37.72745684056207,POINT (-122.422028274 37.727456841),2025/06/20 12:17:56 PM
16053986265010,160539862,65010,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,07/04/2016,00:04,RICHMOND,"ARREST, BOOKED",CLEMENT ST / 6TH AV,-122.4644254769511,37.782939770493755,POINT (-122.464425477 37.78293977),2025/06/20 12:17:56 PM
16054213827170,160542138,27170,OTHER OFFENSES,RESISTING ARREST,Monday,07/04/2016,23:34,NORTHERN,"ARREST, BOOKED",0 Block of NORMANDIE TR,-122.4409159581366,37.79438275376596,POINT (-122.440915958 37.794382754),2025/06/20 12:17:56 PM
16054183930190,160541839,30190,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Monday,07/04/2016,21:50,CENTRAL,"ARREST, BOOKED",JEFFERSON ST / LEAVENWORTH ST,-122.41908767674661,37.807801551651494,POINT (-122.419087677 37.807801552),2025/06/20 12:17:56 PM
16055044805011,160550448,05011,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Monday,07/04/2016,13:00,NORTHERN,NONE,1500 Block of EDDY ST,-122.43315586900265,37.781267346809955,POINT (-122.433155869 37.781267347),2025/06/20 12:17:56 PM
16054284374000,160542843,74000,MISSING PERSON,MISSING ADULT,Monday,07/04/2016,17:00,MISSION,NONE,600 Block of VALENCIA ST,-122.42174765046308,37.762743660114744,POINT (-122.42174765 37.76274366),2025/06/20 12:17:56 PM
16054018228100,160540182,28100,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Monday,07/04/2016,04:15,TENDERLOIN,NONE,400 Block of EDDY ST,-122.41506687647006,37.78356347963316,POINT (-122.415066876 37.78356348),2025/06/20 12:17:56 PM
16054092228160,160540922,28160,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,07/04/2016,14:15,MISSION,NONE,SANCHEZ ST / CUMBERLAND ST,-122.43034561773192,37.75875564246241,POINT (-122.430345618 37.758755642),2025/06/20 12:17:56 PM
16054168506314,160541685,06314,LARCENY/THEFT,GRAND THEFT BICYCLE,Monday,07/04/2016,20:00,SOUTHERN,NONE,800 Block of MARKET ST,-122.4076335207421,37.78418935014246,POINT (-122.407633521 37.78418935),2025/06/20 12:17:56 PM
16054096630190,160540966,30190,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Monday,07/04/2016,15:14,CENTRAL,"ARREST, BOOKED",700 Block of THE EMBARCADERONORTH ST,-122.40038746482043,37.80257359916507,POINT (-122.400387465 37.802573599),2025/06/20 12:17:56 PM
16054012604138,160540126,04138,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Monday,07/04/2016,02:00,INGLESIDE,"ARREST, BOOKED",200 Block of LISBON ST,-122.43191330506046,37.72434152572309,POINT (-122.431913305 37.724341526),2025/06/20 12:17:56 PM
16054169164070,160541691,64070,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,07/04/2016,20:20,MISSION,NONE,500 Block of SOUTH VAN NESS AV,-122.41733903177202,37.76436607228286,POINT (-122.417339032 37.764366072),2025/06/20 12:17:56 PM
16054005765040,160540057,65040,OTHER OFFENSES,FAILURE TO HEED RED LIGHT AND SIREN,Monday,07/04/2016,02:29,NORTHERN,NONE,LARKIN ST / OLIVE ST,-122.41780910310018,37.784709896861635,POINT (-122.417809103 37.784709897),2025/06/20 12:17:56 PM
16054144771024,160541447,71024,NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Monday,07/04/2016,17:45,CENTRAL,"ARREST, BOOKED",1600 Block of THE EMBARCADERONORTH ST,-122.4107742143754,37.80843501758691,POINT (-122.410774214 37.808435018),2025/06/20 12:17:56 PM
16054060906364,160540609,06364,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Monday,07/04/2016,12:15,NORTHERN,NONE,2200 Block of FILLMORE ST,-122.43418515635612,37.790273788887674,POINT (-122.434185156 37.790273789),2025/06/20 12:17:56 PM
16054069364070,160540693,64070,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,07/04/2016,12:35,NORTHERN,NONE,500 Block of FELL ST,-122.42692384208341,37.775473197046566,POINT (-122.426923842 37.775473197),2025/06/20 12:17:56 PM
16614781528150,166147815,28150,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,07/04/2016,15:00,NORTHERN,NONE,LINDEN ST / GOUGH ST,-122.42288643822866,37.776416668946,POINT (-122.422886438 37.776416669),2025/06/20 12:17:56 PM
16054207512080,160542075,12080,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Monday,07/04/2016,23:15,INGLESIDE,"ARREST, BOOKED",BLYTHDALE AV / SANTOS ST,-122.41877047993623,37.71073321240002,POINT (-122.41877048 37.710733212),2025/06/20 12:17:56 PM
16614783706244,166147837,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,07/04/2016,18:30,NORTHERN,NONE,SUTTER ST / LAGUNA ST,-122.42833791705534,37.78671097316046,POINT (-122.428337917 37.786710973),2025/06/20 12:17:56 PM
